Omega_Lambda,N_BH_v3_raw,N_BH_v3_norm
0.010000,0.000000e+00,0.000000
0.037647,1.204105e+10,0.018759
0.065294,1.260384e+10,0.019636
0.092941,1.320936e+10,0.020579
0.120588,1.386224e+10,0.021596
0.148235,1.456774e+10,0.022695
0.175882,1.533190e+10,0.023886
0.203529,1.616166e+10,0.025178
0.231176,1.706507e+10,0.026586
0.258824,1.805148e+10,0.028123
0.286471,1.913183e+10,0.029806
0.314118,2.031894e+10,0.031655
0.341765,2.162801e+10,0.033694
0.369412,2.307711e+10,0.035952
0.397059,2.468787e+10,0.038461
0.424706,2.648646e+10,0.041263
0.452353,2.850470e+10,0.044408
0.480000,3.078170e+10,0.047955
0.507647,3.336600e+10,0.051981
0.535294,3.631853e+10,0.056581
0.562941,3.971665e+10,0.061875
0.590588,4.366002e+10,0.068018
0.618235,4.827900e+10,0.075214
0.645882,5.374705e+10,0.083733
0.673529,6.029976e+10,0.093941
0.701176,6.826449e+10,0.106350
0.728824,7.810867e+10,0.121686
0.756471,9.052143e+10,0.141024
0.784118,1.065589e+11,0.166009
0.811765,1.279186e+11,0.199285
0.839412,1.574992e+11,0.245369
0.867059,2.006568e+11,0.312605
0.894706,2.684239e+11,0.418180
0.922353,3.874718e+11,0.603646
0.950000,6.418863e+11,1.000000
