Omega_Lambda,t_form_Gyr,L_eff,T_int_raw,T_int_norm
0.010000,2.9471,2.736693e+19,3.424800e-19,0.060167
0.037647,5.3886,1.049196e+19,8.515030e-19,0.149592
0.065294,5.4382,1.023583e+19,8.717319e-19,0.153146
0.092941,5.4896,1.001455e+19,8.900206e-19,0.156359
0.120588,5.5428,9.815933e+18,9.071205e-19,0.159363
0.148235,5.5980,8.756410e+18,1.011091e-18,0.177629
0.175882,5.6553,8.591089e+18,1.029566e-18,0.180874
0.203529,5.7149,8.436305e+18,1.047503e-18,0.184026
0.231176,5.7769,8.290365e+18,1.065013e-18,0.187102
0.258824,5.8415,8.152015e+18,1.082177e-18,0.190117
0.286471,5.9089,7.273811e+18,1.205941e-18,0.211860
0.314118,5.9794,7.151581e+18,1.225513e-18,0.215298
0.341765,6.0533,7.034583e+18,1.244869e-18,0.218699
0.369412,6.1307,6.922303e+18,1.264043e-18,0.222067
0.397059,6.2121,6.174993e+18,1.408949e-18,0.247525
0.424706,6.2979,6.203894e+18,1.402713e-18,0.246429
0.452353,6.3885,6.278848e+18,1.386801e-18,0.243633
0.480000,6.4843,6.361799e+18,1.369617e-18,0.240615
0.507647,6.5861,5.830132e+18,1.488009e-18,0.261414
0.535294,6.6945,5.872800e+18,1.477737e-18,0.259609
0.562941,6.8103,5.366556e+18,1.609864e-18,0.282821
0.590588,6.9346,5.409940e+18,1.597597e-18,0.280666
0.618235,7.0686,5.430502e+18,1.591850e-18,0.279656
0.645882,7.2138,4.943156e+18,1.740588e-18,0.305787
0.673529,7.3720,4.964004e+18,1.733642e-18,0.304567
0.701176,7.5456,4.510327e+18,1.898901e-18,0.333599
0.728824,7.7378,4.101542e+18,2.078261e-18,0.365109
0.756471,7.9525,4.096259e+18,2.080808e-18,0.365557
0.784118,8.1954,3.726231e+18,2.276637e-18,0.399960
0.811765,8.4743,3.371382e+18,2.503701e-18,0.439851
0.839412,8.8008,3.060024e+18,2.745121e-18,0.482263
0.867059,9.1934,2.521796e+18,3.298949e-18,0.579560
0.894706,9.6834,2.282615e+18,3.626511e-18,0.637106
0.922353,10.3308,1.883555e+18,4.352818e-18,0.764704
0.950000,11.2767,1.420168e+18,5.692160e-18,1.000000
